
==========================================
--- Gaussian Known-Covariance Started at 2026-03-31 08:03:13.884671 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 50 ---
[2026-03-31 08:03:42] Rep 99, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 11, acc = 0.965], IF-PCA [feat = 22, acc = 0.700]
[2026-03-31 08:03:42] Rep 96, p = 50: Witten [feat = 45, acc = 0.970], Arias [feat = 11, acc = 0.960], IF-PCA [feat = 19, acc = 0.900]

--- Dimension p = 100 ---
[2026-03-31 08:03:48] Rep 7, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 45, acc = 0.830]
[2026-03-31 08:03:48] Rep 15, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 16, acc = 0.975], IF-PCA [feat = 46, acc = 0.930]
[2026-03-31 08:03:48] Rep 11, p = 100: Witten [feat = 100, acc = 0.990], Arias [feat = 12, acc = 0.990], IF-PCA [feat = 30, acc = 0.510]
[2026-03-31 08:03:48] Rep 10, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 16, acc = 0.960], IF-PCA [feat = 13, acc = 0.620]
[2026-03-31 08:03:48] Rep 13, p = 100: Witten [feat = 100, acc = 0.955], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 35, acc = 0.860]
[2026-03-31 08:03:48] Rep 12, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 16, acc = 0.980], IF-PCA [feat = 25, acc = 0.770]
[2026-03-31 08:03:48] Rep 9, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 16, acc = 0.970], IF-PCA [feat = 38, acc = 0.670]
[2026-03-31 08:03:48] Rep 1, p = 100: Witten [feat = 88, acc = 0.970], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 18, acc = 0.630]
[2026-03-31 08:03:48] Rep 5, p = 100: Witten [feat = 100, acc = 0.960], Arias [feat = 14, acc = 0.980], IF-PCA [feat = 9, acc = 0.555]
[2026-03-31 08:03:48] Rep 3, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 12, acc = 0.980], IF-PCA [feat = 20, acc = 0.525]
[2026-03-31 08:03:48] Rep 14, p = 100: Witten [feat = 100, acc = 1.000], Arias [feat = 16, acc = 1.000], IF-PCA [feat = 20, acc = 0.805]
[2026-03-31 08:03:48] Rep 6, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 30, acc = 0.770]
[2026-03-31 08:03:48] Rep 8, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 12, acc = 0.995], IF-PCA [feat = 24, acc = 0.935]
[2026-03-31 08:03:48] Rep 4, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 22, acc = 0.975], IF-PCA [feat = 50, acc = 0.900]
[2026-03-31 08:03:53] Rep 18, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 48, acc = 0.905]
[2026-03-31 08:03:53] Rep 16, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 46, acc = 0.870]
[2026-03-31 08:03:53] Rep 20, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 16, acc = 0.985], IF-PCA [feat = 27, acc = 0.905]
[2026-03-31 08:03:54] Rep 19, p = 100: Witten [feat = 100, acc = 0.965], Arias [feat = 14, acc = 0.970], IF-PCA [feat = 25, acc = 0.870]
[2026-03-31 08:03:54] Rep 21, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 43, acc = 0.870]
[2026-03-31 08:03:54] Rep 17, p = 100: Witten [feat = 100, acc = 0.960], Arias [feat = 10, acc = 0.960], IF-PCA [feat = 25, acc = 0.905]
[2026-03-31 08:03:54] Rep 24, p = 100: Witten [feat = 100, acc = 0.955], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 9, acc = 0.550]
[2026-03-31 08:03:54] Rep 23, p = 100: Witten [feat = 100, acc = 0.990], Arias [feat = 10, acc = 0.990], IF-PCA [feat = 47, acc = 0.815]
[2026-03-31 08:03:54] Rep 22, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 14, acc = 0.980], IF-PCA [feat = 7, acc = 0.775]
[2026-03-31 08:03:54] Rep 27, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 18, acc = 0.980], IF-PCA [feat = 15, acc = 0.845]
[2026-03-31 08:03:54] Rep 29, p = 100: Witten [feat = 100, acc = 0.965], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 49, acc = 0.905]
[2026-03-31 08:03:54] Rep 28, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 10, acc = 0.540]
[2026-03-31 08:03:54] Rep 25, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 49, acc = 0.940]
[2026-03-31 08:03:54] Rep 30, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 22, acc = 0.550]
[2026-03-31 08:03:54] Rep 26, p = 100: Witten [feat = 100, acc = 0.980], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 35, acc = 0.515]
