
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:18:14] Rep 57, p = 3000: Witten [feat = 465, acc = 0.980], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 699, acc = 0.525]
[2026-03-31 08:18:16] Rep 52, p = 3000: Witten [feat = 105, acc = 0.635], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1005, acc = 0.540]
[2026-03-31 08:18:21] Rep 53, p = 3000: Witten [feat = 108, acc = 0.525], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1029, acc = 0.540]
[2026-03-31 08:18:26] Rep 60, p = 3000: Witten [feat = 22, acc = 0.940], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 380, acc = 0.535]
[2026-03-31 08:18:30] Rep 54, p = 3000: Witten [feat = 112, acc = 0.530], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1011, acc = 0.505]
[2026-03-31 08:18:31] Rep 55, p = 3000: Witten [feat = 105, acc = 0.535], Arias [feat = 60, acc = 0.940], IF-PCA [feat = 1347, acc = 0.510]
[2026-03-31 08:18:32] Rep 50, p = 3000: Witten [feat = 103, acc = 0.505], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 1000, acc = 0.520]
[2026-03-31 08:18:35] Rep 51, p = 3000: Witten [feat = 135, acc = 0.595], Arias [feat = 60, acc = 0.980], IF-PCA [feat = 1286, acc = 0.505]
[2026-03-31 08:18:52] Rep 58, p = 3000: Witten [feat = 156, acc = 0.520], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 893, acc = 0.530]
[2026-03-31 08:18:58] Rep 56, p = 3000: Witten [feat = 93, acc = 0.540], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1488, acc = 0.515]
[2026-03-31 08:19:18] Rep 59, p = 3000: Witten [feat = 11, acc = 0.980], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1421, acc = 0.505]
[2026-03-31 08:21:08] Rep 62, p = 3000: Witten [feat = 71, acc = 0.500], Arias [feat = 60, acc = 0.930], IF-PCA [feat = 912, acc = 0.560]
[2026-03-31 08:21:26] Rep 67, p = 3000: Witten [feat = 76, acc = 0.510], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1027, acc = 0.505]
[2026-03-31 08:21:28] Rep 64, p = 3000: Witten [feat = 10, acc = 0.965], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 1218, acc = 0.505]
[2026-03-31 08:21:30] Rep 61, p = 3000: Witten [feat = 146, acc = 0.515], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1477, acc = 0.525]
[2026-03-31 08:21:41] Rep 66, p = 3000: Witten [feat = 41, acc = 0.975], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 921, acc = 0.520]
[2026-03-31 08:21:42] Rep 63, p = 3000: Witten [feat = 108, acc = 0.505], Arias [feat = 60, acc = 0.935], IF-PCA [feat = 1322, acc = 0.525]
[2026-03-31 08:21:49] Rep 72, p = 3000: Witten [feat = 198, acc = 0.560], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1495, acc = 0.600]
[2026-03-31 08:21:50] Rep 73, p = 3000: Witten [feat = 45, acc = 0.890], Arias [feat = 120, acc = 0.950], IF-PCA [feat = 1386, acc = 0.560]
[2026-03-31 08:21:56] Rep 65, p = 3000: Witten [feat = 250, acc = 0.525], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1482, acc = 0.510]
[2026-03-31 08:21:57] Rep 70, p = 3000: Witten [feat = 55, acc = 0.510], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1458, acc = 0.565]
[2026-03-31 08:22:05] Rep 68, p = 3000: Witten [feat = 122, acc = 0.520], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1368, acc = 0.510]
[2026-03-31 08:22:11] Rep 71, p = 3000: Witten [feat = 203, acc = 0.505], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 920, acc = 0.520]
[2026-03-31 08:22:13] Rep 69, p = 3000: Witten [feat = 125, acc = 0.500], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1484, acc = 0.510]
[2026-03-31 08:22:20] Rep 74, p = 3000: Witten [feat = 159, acc = 0.575], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1294, acc = 0.505]
[2026-03-31 08:22:22] Rep 75, p = 3000: Witten [feat = 93, acc = 0.520], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1126, acc = 0.550]
[2026-03-31 08:24:20] Rep 76, p = 3000: Witten [feat = 11, acc = 0.940], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 1274, acc = 0.500]
[2026-03-31 08:24:35] Rep 83, p = 3000: Witten [feat = 10, acc = 0.975], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1288, acc = 0.560]
[2026-03-31 08:24:42] Rep 79, p = 3000: Witten [feat = 91, acc = 0.510], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1084, acc = 0.530]
[2026-03-31 08:24:49] Rep 77, p = 3000: Witten [feat = 101, acc = 0.520], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1453, acc = 0.510]
[2026-03-31 08:24:56] Rep 82, p = 3000: Witten [feat = 144, acc = 0.535], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1489, acc = 0.530]
[2026-03-31 08:24:56] Rep 78, p = 3000: Witten [feat = 74, acc = 0.515], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1097, acc = 0.520]
[2026-03-31 08:24:59] Rep 81, p = 3000: Witten [feat = 78, acc = 0.545], Arias [feat = 60, acc = 0.980], IF-PCA [feat = 1492, acc = 0.520]
[2026-03-31 08:25:12] Rep 84, p = 3000: Witten [feat = 217, acc = 0.510], Arias [feat = 120, acc = 0.930], IF-PCA [feat = 858, acc = 0.540]
