
==========================================
--- Gaussian Known-Covariance Started at 2026-04-07 20:58:16 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 500 ---
[2026-04-07 21:01:12] Rep 82, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 
[2026-04-07 21:01:14] Rep 93, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.750] 
[2026-04-07 21:01:15] Rep 94, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.795] 
[2026-04-07 21:01:17] Rep 95, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.640] 
[2026-04-07 21:01:18] Rep 96, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.635] 
[2026-04-07 21:01:19] Rep 97, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.610] 
[2026-04-07 21:01:19] Rep 100, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.725] 
[2026-04-07 21:01:20] Rep 98, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.600] 
[2026-04-07 21:01:20] Rep 99, p = 500: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=NA] 

--- Dimension p = 1000 ---
[2026-04-07 21:02:25] Rep 9, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.650] 
[2026-04-07 21:02:25] Rep 15, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.565] 
[2026-04-07 21:02:35] Rep 10, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.615] 
[2026-04-07 21:02:36] Rep 6, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.570] 
[2026-04-07 21:02:38] Rep 5, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.555] 
[2026-04-07 21:02:43] Rep 8, p = 1000: Witten [feat=NA, acc=NA], Arias [feat=NA, acc=NA], IF-PCA [feat=NA, acc=NA], SCVX [acc=0.675] 
