
==========================================
--- Gaussian Known-Covariance Started at 2026-04-02 15:43:16 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 1000 ---
[2026-04-02 16:00:17] Rep 56, p = 1000: Witten [feat = 144, acc = 0.530], Arias [feat = 260, acc = 0.940], IF-PCA [feat = 331, acc = 0.525], SCVX [acc = 0.870]
[2026-04-02 16:00:20] Rep 52, p = 1000: Witten [feat = 163, acc = 0.960], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 24, acc = 0.505], SCVX [acc = 0.875]
[2026-04-02 16:00:31] Rep 48, p = 1000: Witten [feat = 263, acc = 0.955], Arias [feat = 40, acc = 0.960], IF-PCA [feat = 431, acc = 0.750], SCVX [acc = 0.850]
[2026-04-02 16:00:39] Rep 58, p = 1000: Witten [feat = 550, acc = 0.960], Arias [feat = 180, acc = 0.955], IF-PCA [feat = 68, acc = 0.565], SCVX [acc = 0.835]
[2026-04-02 16:01:11] Rep 54, p = 1000: Witten [feat = 106, acc = 0.970], Arias [feat = 40, acc = 0.970], IF-PCA [feat = 193, acc = 0.560], SCVX [acc = 0.900]
[2026-04-02 16:01:14] Rep 57, p = 1000: Witten [feat = 10, acc = 0.985], Arias [feat = 40, acc = 0.955], IF-PCA [feat = 433, acc = 0.605], SCVX [acc = 0.915]
[2026-04-02 16:01:27] Rep 55, p = 1000: Witten [feat = 10, acc = 0.955], Arias [feat = 20, acc = 0.970], IF-PCA [feat = 328, acc = 0.510], SCVX [acc = NA]
[2026-04-02 16:01:31] Rep 59, p = 1000: Witten [feat = 476, acc = 0.520], Arias [feat = 100, acc = 0.510], IF-PCA [feat = 225, acc = 0.545], SCVX [acc = 0.845]
[2026-04-02 16:01:37] Rep 60, p = 1000: Witten [feat = 163, acc = 0.525], Arias [feat = 20, acc = 0.970], IF-PCA [feat = 33, acc = 0.535], SCVX [acc = 0.835]
[2026-04-02 16:03:43] Rep 61, p = 1000: Witten [feat = 195, acc = 0.975], Arias [feat = 20, acc = 0.970], IF-PCA [feat = 69, acc = 0.530], SCVX [acc = 0.865]
[2026-04-02 16:04:19] Rep 65, p = 1000: Witten [feat = 148, acc = 0.975], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 101, acc = 0.560], SCVX [acc = 0.895]
[2026-04-02 16:04:23] Rep 62, p = 1000: Witten [feat = 10, acc = 0.945], Arias [feat = 40, acc = 0.960], IF-PCA [feat = 82, acc = 0.510], SCVX [acc = 0.875]
[2026-04-02 16:04:31] Rep 63, p = 1000: Witten [feat = 282, acc = 0.515], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 177, acc = 0.535], SCVX [acc = 0.855]
[2026-04-02 16:04:33] Rep 66, p = 1000: Witten [feat = 199, acc = 0.525], Arias [feat = 100, acc = 0.960], IF-PCA [feat = 134, acc = 0.550], SCVX [acc = 0.960]
[2026-04-02 16:05:04] Rep 68, p = 1000: Witten [feat = 10, acc = 0.975], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 261, acc = 0.550], SCVX [acc = 0.875]
[2026-04-02 16:05:10] Rep 64, p = 1000: Witten [feat = 199, acc = 0.505], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 188, acc = 0.560], SCVX [acc = NA]
[2026-04-02 16:05:10] Rep 69, p = 1000: Witten [feat = 131, acc = 0.980], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 147, acc = 0.650], SCVX [acc = 0.905]
