"rep","time","acc","ari","obj","iter"
75,5.73441600799561,0.52,-0.00340999078817659,8512.58615824502,1000
76,5.26741099357605,0.505,-0.00493731139758342,8608.84314451985,1000
77,3.81581687927246,0.705,0.163993485588759,8620.86904983586,1000
78,4.16309714317322,0.64,0.0737529393701869,8650.16832995084,1000
79,5.04415607452393,0.57,0.0146664000048484,8556.52265389966,1000
80,4.06502819061279,0.665,0.104501256170385,8577.82768532527,1000
81,4.77069807052612,0.725,0.198475865513743,8662.98980353064,1000
82,5.98000407218933,0.645,0.0794784266132124,8552.51063084527,1000
83,5.201740026474,0.805,0.368967350985117,8619.25692442246,1000
84,6.23702192306519,0.7,0.155772925340751,8607.49678416562,1000
85,5.17788004875183,0.69,0.140122216049694,8775.38971564507,1000
86,5.00579500198364,0.735,0.216975038193962,8857.19108285721,1000
87,5.83715581893921,0.61,0.0436248525300192,8587.8011313453,1000
88,5.77487707138062,0.655,0.0916123825794667,8724.92412249308,1000
89,6.00636315345764,0.61,0.0436422402908943,8602.27348155618,1000
90,6.10884094238281,0.68,0.125267657301691,8645.17462894654,1000
91,6.70002388954163,0.645,0.0795304933385384,8609.16134232517,1000
92,5.72654700279236,0.74,0.226552194333619,8589.85833879692,1000
93,6.34232497215271,0.63,0.0629211985067149,8599.5593298932,1000
94,6.7538468837738,0.53,-0.00130286185220499,8512.86978481025,1000
95,6.88397002220154,0.625,0.0578227290150451,8727.40759852888,1000
96,5.29615712165833,0.7,0.155866716222549,8545.69834413563,1000
97,5.93290114402771,0.745,0.236348899746241,8570.30211716717,1000
98,4.9157931804657,0.54,0.00145443967711434,8464.18495811463,1000
99,4.9016900062561,0.575,0.0175636274931174,8588.33854685356,1000
100,6.14067697525024,0.67,0.11114949425162,8569.31191321574,1000
