"rep","time","acc","ari","obj","iter"
50,4.10469007492065,0.66,0.0978739565740883,7587.51043298687,1000
51,5.01785492897034,0.715,0.180853250404385,7657.48101891298,1000
52,4.53859782218933,0.555,0.0071231423845658,7712.43187400735,1000
53,4.54547619819641,0.75,0.246225826197099,7677.02137280942,1000
54,4.01275682449341,0.68,0.125232315723128,7524.92476179946,1000
55,6.39689707756042,0.715,0.180803606375398,7738.36193341951,1000
56,6.17057394981384,0.7,0.155895701915444,7618.00331800693,1000
57,4.59355497360229,0.595,0.0312440499488642,7646.88507021576,1000
58,5.83858799934387,0.625,0.057845567726795,7763.2006182118,1000
59,7.6878399848938,0.53,-0.00142423091530574,7748.91762480229,1000
60,4.95858311653137,0.685,0.132562375981604,7652.52942135112,1000
61,4.13645505905151,0.755,0.256372520548983,7831.83855115354,1000
62,5.12069296836853,0.665,0.104410802893903,7663.8514373755,1000
63,5.84141993522644,0.51,-0.00464036654249259,7530.27663264483,1000
64,5.69501399993896,0.565,0.0119353475074002,7693.24092851211,1000
65,4.68248200416565,0.75,0.246225826197099,7698.8899007043,1000
66,5.23813915252686,0.66,0.0978666666666667,7644.64187998736,1000
67,4.75633907318115,0.595,0.0312910170641088,7755.2737233116,1000
68,4.60820889472961,0.52,-0.00343431568229752,7561.77309665175,1000
69,5.14061522483826,0.635,0.0682407354565467,7642.57767133667,1000
70,5.49649691581726,0.575,0.0176033202682112,7647.71232485031,1000
71,5.41333293914795,0.695,0.14782843650964,7698.4040947628,1000
72,4.54603099822998,0.76,0.266809947804728,7697.03865569737,1000
73,4.51654195785522,0.72,0.189533821948914,7683.06561580024,1000
74,4.48876595497131,0.525,-0.00247661632799203,7536.51648637266,1000
75,4.45447611808777,0.56,0.00942422338540731,7719.84195170894,1000
76,4.7611141204834,0.505,-0.00492513064070644,7784.32740231303,1000
77,4.5372679233551,0.705,0.16391917573757,7511.95905425711,1000
78,4.65444993972778,0.615,0.0482248229367875,7638.29920340123,1000
79,4.876051902771,0.54,0.00162586519254886,7635.59171418169,1000
80,4.34678792953491,0.67,0.111248242651455,7606.43138747257,1000
81,4.28927111625671,0.705,0.163902285292643,7674.60159769605,1000
82,4.57604503631592,0.615,0.0481171474155821,7639.91848058745,1000
83,4.27313208580017,0.815,0.393878836269829,7572.62919063665,1000
84,4.20471096038818,0.71,0.172375833449476,7695.6201228843,1000
85,4.14407706260681,0.685,0.132544852068854,7529.43385120985,1000
86,4.01507902145386,0.735,0.217031980603676,7448.09426913048,1000
87,4.44386410713196,0.555,0.00717127892689391,7702.24165779029,1000
88,4.24957895278931,0.65,0.0854336021461932,7853.08339598232,1000
89,4.16907501220703,0.58,0.0206867015216039,7755.08297329832,1000
90,3.80309295654297,0.635,0.0684665561574711,7615.22064130115,1000
91,4.26856017112732,0.64,0.073837135313878,7702.81096137027,1000
92,3.961993932724,0.765,0.277297746910354,7619.71181935656,1000
93,4.11068892478943,0.6,0.0351827011652148,7387.42035846333,1000
94,4.39693212509155,0.575,0.0176469786164716,7533.17943302841,1000
95,4.15129399299622,0.65,0.0854206691191474,7609.31096831401,1000
96,4.18044996261597,0.7,0.155841138957962,7605.80054220558,1000
97,4.08636522293091,0.72,0.189607493399643,7755.00598245807,1000
98,3.9520480632782,0.585,0.024035380370803,7713.13555277205,1000
99,3.98363494873047,0.61,0.0436113282788798,7746.97097743955,1000
100,4.067547082901,0.675,0.118072190580952,7546.38918725454,1000
